take_id,filename,sequence,cue_first,cue_last,word_count,text_sha256,source_class,selected_speed,source_sha256,start,end,window_seconds
T020,T020.wav,S2,29,30,9,ed61cf91f346a3d2311c391317227c32dd28a793cbc957d7ebbf4d143f85f5a8,RAW_NATURAL_SPEED,1.0,666a4894f85084cc60fcfb22ec46f372037bc340294fae34dc7e0871b60d3e17,00:02:09.000,00:02:13.535,4.535
T021,T021.wav,S2,31,31,8,ba9fe1ea31e67d0d033d3c4deec20b6200cb1967936f193b6142448300d3cded,RAW_NATURAL_SPEED,1.0,d95536e1fbb09cdc5736fcbbddcf6c9c4bd15569638440cc1e1b8882a2ff2ddd,00:02:13.535,00:02:17.000,3.465
T022,T022.wav,S2,32,32,10,9457174d5e993c706d0eb4cf127d6435f649b56c570016733aeecbbd78524d1b,RAW_NATURAL_SPEED,1.0,ccf5ee399bc28cc29276826448b6f8dca0d3b54f50da88f90d8464da77294b20,00:02:17.000,00:02:22.000,5.000
T023,T023.wav,S3,33,33,9,76ebeceba6d9cc7bf6a07ea4d5faa3fa38d4863dab1ef88b03a827ea44e324f0,SURGICAL_REWRITE,1.09,ec498dad53e08af2378abd7f21571a26cc2d12ec8f087277a082c842ca8aa15b,00:02:22.547,00:02:26.855,4.308
T024,T024.wav,S3,34,35,12,a01aa891959d52fbeb01009effa13c97a955eabf39d9200fed89ca990919fb50,RAW_NATURAL_SPEED,1.0,de6015d429b02448a7e640e69a02bc6409115f5e1c33b1142ba28ec43e54bb8c,00:02:27.863,00:02:32.983,5.120
T025,T025.wav,S3,36,37,15,6bd9f52ff19460ca908fe45959654e44c1696958ffaca69f1c4496ce5a64216b,SURGICAL_REWRITE,1.03,1f92f6a81b0c86b9ac937218852d85cf6bb0956e7a1548817a1ba1b2f107dd49,00:02:32.983,00:02:41.350,8.367
T026,T026.wav,S3,38,38,8,d197fe2ddf54ded82a6b92d2fed935af313175c3d24847587306e876f0230185,ADAPTIVE_EXISTING,1.15,73e4450b04f7181e1d5ed39aead7e88113074aeef46c6523e7b997eac4c2bc60,00:02:45.323,00:02:48.576,3.253
T027,T027.wav,S3,39,40,9,1c5a155d0cf21b15107e08561f69cd901a6455253bc1c46052cca798ec878b98,SURGICAL_REWRITE,1.0,aeba84614c069749e150f54cb02c9d0ab6b91ad6ee4a28c7c07ba1a47fc3bd1a,00:02:48.576,00:02:53.675,5.099
T028,T028.wav,S3,41,41,9,b992ca7980544539d55f77ab266f0516f7aa61c8ad5ef51a870624269a5dc1ee,RAW_NATURAL_SPEED,1.0,d9cbafc3cf17e3bf9dea3bc0bcf56e0e1036ea6df25bea00c947000c33233f11,00:02:55.271,00:02:59.501,4.230
T029,T029.wav,S3,42,42,10,71b4bae8dd94f8c5e457ae98af15c31b100d82e9231d440d11511c895b762259,RAW_NATURAL_SPEED,1.0,d8e9ae2c91669e2dd9059af203a6bb9ba3bba476cb1f08ff6a5dad13731b3b63,00:03:00.592,00:03:04.720,4.128
